# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,94.6372660896,0.841220143019,0.0220149606455,7.5,7.5
1.0,3,88.326617634,0.78512549008,0.0185197920162,7.5,7.5
1.5,3,102.820934281,0.913963860275,0.0232652306917,7.5,7.5
2.0,3,102.763122586,0.913449978539,0.0236762943093,7.5,7.5
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,90.2427319193,0.80215761706,0.00705688112851,7.55,7.44966442197
1.0,3,88.641522564,0.787924645013,0.0130439920271,7.55,7.44966442197
1.5,3,100.842279585,0.896375818537,0.0216272910902,7.55,7.44966442197
2.0,3,100.814983611,0.896133187651,0.0225056700115,7.55,7.44966442197
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,89.2449022919,0.793288020372,0.00490233133638,7.6,7.39864852524
1.0,3,88.332882672,0.785181179306,0.0133252237292,7.6,7.39864852524
1.5,3,99.1661354382,0.88147675945,0.0199985360739,7.6,7.39864852524
2.0,3,99.2485947296,0.882209730929,0.0215929591551,7.6,7.39864852524
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,88.65358616,0.788031876978,0.00422491635104,7.65,7.34693813776
1.0,3,88.090096615,0.783023081022,0.0139414944562,7.65,7.34693813776
1.5,3,98.0609960666,0.87165329837,0.0190056301782,7.65,7.34693813776
2.0,3,98.0687625196,0.871722333508,0.0191382375905,7.65,7.34693813776
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,88.1572870008,0.783620328896,0.00386058223619,7.7,7.29451848993
1.0,3,87.5369128662,0.778105892144,0.0119986044678,7.7,7.29451848993
1.5,3,97.1173486462,0.8632653213,0.0173015977451,7.7,7.29451848993
2.0,3,97.0362209524,0.862544186243,0.0178553425724,7.7,7.29451848993
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,87.7114460286,0.779657298032,0.00374123309123,7.75,7.24137417898
1.0,3,87.1295371194,0.774484774394,0.0114976384429,7.75,7.24137417898
1.5,3,96.3435777116,0.856387357436,0.0170687553023,7.75,7.24137417898
2.0,3,96.2703450508,0.855736400451,0.0169358065893,7.75,7.24137417898
