# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,109.506026195,0.973386899511,0.0114413110685,7.5,7.5
1.0,3,109.583857813,0.974078736119,0.0120723026449,7.5,7.5
1.5,3,111.387540925,0.990111474889,1.92462143401e-06,7.5,7.5
2.0,3,111.387473581,0.99011087628,6.78734924209e-06,7.5,7.5
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,108.61286824,0.965447717693,0.012241279035,7.55,7.44966442197
1.0,3,108.923345929,0.968207519373,0.0118920381278,7.55,7.44966442197
1.5,3,111.387520268,0.990111291273,4.57464367177e-06,7.55,7.44966442197
2.0,3,111.387504312,0.990111149436,5.17360905394e-06,7.55,7.44966442197
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,107.314059517,0.95390275126,0.0110717798434,7.6,7.39864852524
1.0,3,107.653044458,0.956915950736,0.0122581058169,7.6,7.39864852524
1.5,3,111.387333303,0.990109629358,1.89532907827e-05,7.6,7.39864852524
2.0,3,111.38748871,0.990111010752,6.32432796987e-06,7.6,7.39864852524
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,106.05557585,0.942716229779,0.0116933403047,7.65,7.34693813776
1.0,3,106.539699163,0.947019548119,0.011308981947,7.65,7.34693813776
1.5,3,111.386931635,0.990106058977,3.44166433019e-05,7.65,7.34693813776
2.0,3,111.387514767,0.990111242376,4.97874992388e-06,7.65,7.34693813776
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,104.914802241,0.932576019916,0.0102865342163,7.7,7.29451848993
1.0,3,105.477032118,0.937573618824,0.0107239360955,7.7,7.29451848993
1.5,3,111.385668539,0.990094831461,6.93523384069e-05,7.7,7.29451848993
2.0,3,111.387451698,0.990110681763,9.27356874323e-06,7.7,7.29451848993
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,103.729076633,0.922036236741,0.0105802375022,7.75,7.24137417898
1.0,3,104.304664301,0.927152571562,0.010971877248,7.75,7.24137417898
1.5,3,111.381885859,0.990061207632,0.000149108956627,7.75,7.24137417898
2.0,3,111.387456322,0.990110722859,8.1397406992e-06,7.75,7.24137417898
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,102.731805362,0.913171603221,0.00945223475955,7.8,7.18748913043
1.0,3,103.408983615,0.919190965464,0.00959672556218,7.8,7.18748913043
1.5,3,111.374133383,0.989992296736,0.000241563655807,7.8,7.18748913043
2.0,3,111.387485872,0.990110985532,6.07877396665e-06,7.8,7.18748913043
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,101.661903005,0.903661360043,0.00948976268002,7.85,7.1328465566
1.0,3,102.351598374,0.909791985551,0.00933709995127,7.85,7.1328465566
1.5,3,111.360904386,0.989874705655,0.000363922052095,7.85,7.1328465566
2.0,3,111.387498754,0.990111100036,6.62877949535e-06,7.85,7.1328465566
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,100.644337284,0.894616331411,0.00908615385748,7.9,7.07742891169
1.0,3,101.389148185,0.901236872752,0.00933965808435,7.9,7.07742891169
1.5,3,111.340005734,0.989688939858,0.0005174201601,7.9,7.07742891169
2.0,3,111.387486839,0.990110994122,9.27222500045e-06,7.9,7.07742891169
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,99.6431689251,0.885717057112,0.00870396289932,7.95,7.02121784308
1.0,3,100.539767759,0.893686824528,0.00825677106912,7.95,7.02121784308
1.5,3,111.309614629,0.989418796701,0.000677720759598,7.95,7.02121784308
2.0,3,111.387494344,0.990111060839,7.85287655646e-06,7.95,7.02121784308
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,98.6691570417,0.877059173704,0.00824968449242,8.0,6.96419413859
1.0,3,99.6229419914,0.885537262146,0.00841430465625,8.0,6.96419413859
1.5,3,111.272866151,0.989092143563,0.000853152296654,8.0,6.96419413859
2.0,3,111.387494704,0.990111064037,8.73610250336e-06,8.0,6.96419413859
# r, beta, Ep, EpNorm, EpNormStd, v1, v2
0.5,3,97.7105869298,0.868538550487,0.00795683314794,8.05,6.90633766913
1.0,3,98.7213550811,0.877523156276,0.00734370622355,8.05,6.90633766913
1.5,3,111.22265515,0.988645823554,0.00100836551018,8.05,6.90633766913
