#     r         beta        Ep   
   0.02500     0.02500   102.33334
   0.05000     0.02500   103.26994
   0.07500     0.02500   103.07561
   0.10000     0.02500   103.19620
   0.12500     0.02500   103.04608
   0.15000     0.02500   102.52885
   0.17500     0.02500   103.10566
   0.20000     0.02500   102.39789
   0.22500     0.02500   102.55884
   0.25000     0.02500   102.87577
   0.27500     0.02500   102.88516
   0.30000     0.02500   103.10722
   0.32500     0.02500   102.42835
   0.35000     0.02500   102.53325
   0.37500     0.02500   103.02465
   0.40000     0.02500   102.54687
   0.42500     0.02500   103.16028
   0.45000     0.02500   102.96974
   0.47500     0.02500   102.69163
   0.50000     0.02500   102.30285
   0.52500     0.02500   102.60662
   0.55000     0.02500   102.82387
   0.57500     0.02500   102.47424
   0.60000     0.02500   102.92740
   0.62500     0.02500   102.66360
   0.65000     0.02500   102.23930
   0.67500     0.02500   102.33393
   0.70000     0.02500   102.59787
   0.72500     0.02500   102.74228
   0.75000     0.02500   102.31743
   0.77500     0.02500   103.16353
   0.80000     0.02500   102.59681
   0.82500     0.02500   102.56539
   0.85000     0.02500   102.43454
   0.87500     0.02500   102.51341
   0.90000     0.02500   102.25973
   0.92500     0.02500   102.87062
   0.95000     0.02500   102.45430
   0.97500     0.02500   103.10659
   1.00000     0.02500   102.22846
   1.02500     0.02500   103.04626
   1.05000     0.02500   103.03769
   1.07500     0.02500   102.31155
   1.10000     0.02500   103.23681
   1.12500     0.02500   102.30748
   1.15000     0.02500   102.61802
   1.17500     0.02500   102.62723
   1.20000     0.02500   102.78422
   1.22500     0.02500   102.45853
   1.25000     0.02500   102.60540
   1.27500     0.02500   102.66700
   1.30000     0.02500   102.56706
   1.32500     0.02500   102.60819
   1.35000     0.02500   102.44242
   1.37500     0.02500   103.02038
   1.40000     0.02500   102.00042
   1.42500     0.02500   102.55433
   1.45000     0.02500   102.74662
   1.47500     0.02500   102.61863
   1.50000     0.02500   103.10194
   1.52500     0.02500   102.84026
   1.55000     0.02500   102.27118
   1.57500     0.02500   102.80655
   1.60000     0.02500   102.78840
   1.62500     0.02500   102.87371
   1.65000     0.02500   102.80639
   1.67500     0.02500   102.66669
   1.70000     0.02500   102.95122
   1.72500     0.02500   102.25218
   1.75000     0.02500   102.45160
   1.77500     0.02500   102.50294
   1.80000     0.02500   102.77845
   1.82500     0.02500   102.69025
   1.85000     0.02500   102.39971
   1.87500     0.02500   102.60368
   1.90000     0.02500   102.27617
   1.92500     0.02500   102.95737
   1.95000     0.02500   103.11697
   1.97500     0.02500   102.95449
   2.00000     0.02500   102.88244
   2.02500     0.02500   102.92425
   2.05000     0.02500   102.49959
   2.07500     0.02500   102.88670
   2.10000     0.02500   102.52063
   2.12500     0.02500   102.91959
   2.15000     0.02500   102.41243
   2.17500     0.02500   102.16916
   2.20000     0.02500   102.57969
   2.22500     0.02500   102.58274
   2.25000     0.02500   102.57992
   2.27500     0.02500   102.65326
   2.30000     0.02500   102.59849
   2.32500     0.02500   102.78925
   2.35000     0.02500   102.57532
   2.37500     0.02500   102.14998
   2.40000     0.02500   101.91289
   2.42500     0.02500   102.43363
   2.45000     0.02500   102.60672
   2.47500     0.02500   102.24939
   2.50000     0.02500   102.43222
   0.02500     0.05000   102.67568
   0.05000     0.05000   102.67419
   0.07500     0.05000   102.82301
   0.10000     0.05000   102.58014
   0.12500     0.05000   102.74210
   0.15000     0.05000   102.67014
   0.17500     0.05000   102.83212
   0.20000     0.05000   102.68105
   0.22500     0.05000   102.69317
   0.25000     0.05000   102.74070
   0.27500     0.05000   102.67376
   0.30000     0.05000   102.45632
   0.32500     0.05000   102.71675
   0.35000     0.05000   102.54794
   0.37500     0.05000   102.79906
   0.40000     0.05000   102.69224
   0.42500     0.05000   102.51022
   0.45000     0.05000   102.88023
   0.47500     0.05000   102.36468
   0.50000     0.05000   102.85440
   0.52500     0.05000   102.69078
   0.55000     0.05000   103.29629
   0.57500     0.05000   102.63734
   0.60000     0.05000   102.51606
   0.62500     0.05000   102.40609
   0.65000     0.05000   102.30918
   0.67500     0.05000   102.54097
   0.70000     0.05000   102.59664
   0.72500     0.05000   102.44343
   0.75000     0.05000   102.71149
   0.77500     0.05000   102.48245
   0.80000     0.05000   102.85281
   0.82500     0.05000   102.46287
   0.85000     0.05000   102.78061
   0.87500     0.05000   102.50236
   0.90000     0.05000   102.55202
   0.92500     0.05000   102.83395
   0.95000     0.05000   102.71076
   0.97500     0.05000   102.39953
   1.00000     0.05000   102.73537
   1.02500     0.05000   102.99707
   1.05000     0.05000   102.76641
   1.07500     0.05000   102.67300
   1.10000     0.05000   102.61810
   1.12500     0.05000   102.52193
   1.15000     0.05000   102.79370
   1.17500     0.05000   102.77984
   1.20000     0.05000   102.46011
   1.22500     0.05000   102.69346
   1.25000     0.05000   102.73753
   1.27500     0.05000   103.05259
   1.30000     0.05000   102.31819
   1.32500     0.05000   102.19322
   1.35000     0.05000   102.83507
   1.37500     0.05000   102.37853
   1.40000     0.05000   103.03876
   1.42500     0.05000   102.90318
   1.45000     0.05000   102.68097
   1.47500     0.05000   103.09131
   1.50000     0.05000   102.73694
   1.52500     0.05000   102.44600
   1.55000     0.05000   102.88971
   1.57500     0.05000   102.78005
   1.60000     0.05000   102.59344
   1.62500     0.05000   102.69758
   1.65000     0.05000   102.70616
   1.67500     0.05000   102.24204
   1.70000     0.05000   102.42995
   1.72500     0.05000   102.77314
   1.75000     0.05000   103.01845
   1.77500     0.05000   102.51865
   1.80000     0.05000   102.39903
   1.82500     0.05000   102.52769
   1.85000     0.05000   102.52513
   1.87500     0.05000   102.59247
   1.90000     0.05000   102.57428
   1.92500     0.05000   102.69674
   1.95000     0.05000   102.58194
   1.97500     0.05000   102.80299
   2.00000     0.05000   102.26044
   2.02500     0.05000   102.72325
   2.05000     0.05000   103.09459
   2.07500     0.05000   102.08907
   2.10000     0.05000   102.97398
   2.12500     0.05000   102.45556
   2.15000     0.05000   102.39486
   2.17500     0.05000   102.75788
   2.20000     0.05000   102.78243
   2.22500     0.05000   102.49945
   2.25000     0.05000   102.77505
   2.27500     0.05000   102.65696
   2.30000     0.05000   102.99333
   2.32500     0.05000   102.69621
   2.35000     0.05000   102.42974
   2.37500     0.05000   102.89173
   2.40000     0.05000   102.44880
   2.42500     0.05000   102.76113
   2.45000     0.05000   102.53356
   2.47500     0.05000   102.82854
   2.50000     0.05000   103.17356
   0.02500     0.07500   102.49304
   0.05000     0.07500   102.38534
   0.07500     0.07500   102.46295
   0.10000     0.07500   102.15351
   0.12500     0.07500   102.90473
   0.15000     0.07500   102.66027
   0.17500     0.07500   103.19885
   0.20000     0.07500   102.83479
   0.22500     0.07500   102.62096
   0.25000     0.07500   102.71740
   0.27500     0.07500   102.92321
   0.30000     0.07500   103.07738
   0.32500     0.07500   102.02020
   0.35000     0.07500   102.63843
   0.37500     0.07500   102.41240
   0.40000     0.07500   102.72231
   0.42500     0.07500   102.60260
   0.45000     0.07500   102.68926
   0.47500     0.07500   102.48929
   0.50000     0.07500   102.34807
   0.52500     0.07500   102.83676
   0.55000     0.07500   102.54381
