#     r         beta        Ep   
   0.10000     0.10000   186.28054
   0.20000     0.10000   186.45064
   0.30000     0.10000   186.49440
   0.40000     0.10000   186.36761
   0.50000     0.10000   186.72561
   0.60000     0.10000   186.61657
   0.70000     0.10000   185.81667
   0.80000     0.10000   186.10785
   0.90000     0.10000   186.18702
   1.00000     0.10000   186.47134
   1.10000     0.10000   186.38522
   1.20000     0.10000   186.35852
   1.30000     0.10000   186.60095
   1.40000     0.10000   186.69950
   1.50000     0.10000   186.78091
   1.60000     0.10000   186.50631
   1.70000     0.10000   185.73689
   1.80000     0.10000   186.39086
   1.90000     0.10000   185.81178
   2.00000     0.10000   186.39487
   2.10000     0.10000   185.61750
   2.20000     0.10000   186.53738
   2.30000     0.10000   185.61479
   2.40000     0.10000   186.32276
   2.50000     0.10000   185.95451
   2.60000     0.10000   186.19890
   2.70000     0.10000   185.74398
   2.80000     0.10000   186.02697
   2.90000     0.10000   186.11226
   3.00000     0.10000   186.19159
   3.10000     0.10000   186.33334
   3.20000     0.10000   185.97667
   3.30000     0.10000   185.78843
   3.40000     0.10000   185.97733
   3.50000     0.10000   186.17110
   3.60000     0.10000   186.25174
   3.70000     0.10000   185.76125
   3.80000     0.10000   186.35089
   3.90000     0.10000   186.76086
   4.00000     0.10000   186.62167
   4.10000     0.10000   186.64152
   4.20000     0.10000   185.98775
   4.30000     0.10000   186.13897
   4.40000     0.10000   186.07952
   4.50000     0.10000   186.77601
   4.60000     0.10000   186.22574
   4.70000     0.10000   186.54420
   4.80000     0.10000   186.38675
   4.90000     0.10000   186.08271
   5.00000     0.10000   186.56176
   0.10000     0.20000   186.62904
   0.20000     0.20000   185.75368
   0.30000     0.20000   186.14212
   0.40000     0.20000   186.46900
   0.50000     0.20000   186.30997
   0.60000     0.20000   186.13124
   0.70000     0.20000   186.65075
   0.80000     0.20000   186.12243
   0.90000     0.20000   185.55202
   1.00000     0.20000   186.23800
   1.10000     0.20000   186.03228
   1.20000     0.20000   186.67789
   1.30000     0.20000   186.65704
   1.40000     0.20000   186.28752
   1.50000     0.20000   185.64479
   1.60000     0.20000   186.41427
   1.70000     0.20000   186.18758
   1.80000     0.20000   186.29733
   1.90000     0.20000   185.92403
   2.00000     0.20000   186.46110
   2.10000     0.20000   186.54378
   2.20000     0.20000   186.13333
   2.30000     0.20000   186.51310
   2.40000     0.20000   185.89799
   2.50000     0.20000   186.40276
   2.60000     0.20000   185.70214
   2.70000     0.20000   186.16171
   2.80000     0.20000   185.86799
   2.90000     0.20000   186.27039
   3.00000     0.20000   186.29620
   3.10000     0.20000   186.55941
   3.20000     0.20000   186.65380
   3.30000     0.20000   185.95984
   3.40000     0.20000   186.94042
   3.50000     0.20000   186.55509
   3.60000     0.20000   186.74641
   3.70000     0.20000   186.53699
   3.80000     0.20000   186.40927
   3.90000     0.20000   186.69401
   4.00000     0.20000   185.40543
   4.10000     0.20000   185.94354
   4.20000     0.20000   186.74832
   4.30000     0.20000   185.68617
   4.40000     0.20000   186.57069
   4.50000     0.20000   186.20039
   4.60000     0.20000   185.93161
   4.70000     0.20000   186.43495
   4.80000     0.20000   186.88765
   4.90000     0.20000   186.98900
   5.00000     0.20000   185.42235
   0.10000     0.30000   186.32563
   0.20000     0.30000   186.03341
