#     r         beta        Ep   
   0.10000     0.10000   110.70752
   0.20000     0.10000   110.61786
   0.30000     0.10000   110.60986
   0.40000     0.10000   110.46832
   0.50000     0.10000   110.77344
   0.60000     0.10000   110.41768
   0.70000     0.10000   110.43627
   0.80000     0.10000   110.45865
   0.90000     0.10000   110.62715
   1.00000     0.10000   110.57798
   1.10000     0.10000   110.68030
   1.20000     0.10000   110.54782
   1.30000     0.10000   110.58709
   1.40000     0.10000   110.57371
   1.50000     0.10000   110.62764
   1.60000     0.10000   110.56216
   1.70000     0.10000   110.50089
   1.80000     0.10000   110.56643
   1.90000     0.10000   110.56011
   2.00000     0.10000   110.58546
   2.10000     0.10000   110.61776
   2.20000     0.10000   110.59324
   2.30000     0.10000   110.59164
   2.40000     0.10000   110.50763
   2.50000     0.10000   110.55353
   2.60000     0.10000   110.56570
   2.70000     0.10000   110.65854
   2.80000     0.10000   110.50126
   2.90000     0.10000   110.69117
   3.00000     0.10000   110.65712
   3.10000     0.10000   110.65425
   3.20000     0.10000   110.46233
   3.30000     0.10000   110.60688
   3.40000     0.10000   110.73497
   3.50000     0.10000   110.61784
   3.60000     0.10000   110.45064
   3.70000     0.10000   110.67141
   3.80000     0.10000   110.49332
   3.90000     0.10000   110.42701
   4.00000     0.10000   110.49585
   4.10000     0.10000   110.53969
   4.20000     0.10000   110.49829
   4.30000     0.10000   110.51776
   4.40000     0.10000   110.49819
   4.50000     0.10000   110.47179
   4.60000     0.10000   110.58633
   4.70000     0.10000   110.67564
   4.80000     0.10000   110.64136
   4.90000     0.10000   110.68962
   5.00000     0.10000   110.74750
   0.10000     0.20000   110.62451
   0.20000     0.20000   110.39676
   0.30000     0.20000   110.35492
   0.40000     0.20000   110.52535
   0.50000     0.20000   110.67176
   0.60000     0.20000   110.40749
   0.70000     0.20000   110.83246
   0.80000     0.20000   110.71554
   0.90000     0.20000   110.43288
   1.00000     0.20000   110.68107
   1.10000     0.20000   110.56816
   1.20000     0.20000   110.67722
   1.30000     0.20000   110.71162
