#     r         beta        Ep   
   0.10000     0.10000    44.02523
   0.20000     0.10000    43.97128
   0.30000     0.10000    43.43996
   0.40000     0.10000    43.53643
   0.50000     0.10000    43.39456
   0.60000     0.10000    43.18942
   0.70000     0.10000    42.87513
   0.80000     0.10000    43.08141
   0.90000     0.10000    42.66099
   1.00000     0.10000    42.91404
   1.10000     0.10000    42.51280
   1.20000     0.10000    42.57497
   1.30000     0.10000    42.40498
   1.40000     0.10000    42.54658
   1.50000     0.10000    42.42342
   1.60000     0.10000    42.68599
   1.70000     0.10000    42.25317
   1.80000     0.10000    42.61900
   1.90000     0.10000    42.53504
   2.00000     0.10000    42.54614
   2.10000     0.10000    42.05346
   2.20000     0.10000    42.95105
   2.30000     0.10000    42.77208
   2.40000     0.10000    42.64479
   2.50000     0.10000    42.89776
   2.60000     0.10000    43.00813
   2.70000     0.10000    42.84874
   2.80000     0.10000    43.16065
   2.90000     0.10000    43.01478
   3.00000     0.10000    43.10095
   3.10000     0.10000    43.43693
   3.20000     0.10000    43.38886
   3.30000     0.10000    43.30002
   3.40000     0.10000    43.70710
   3.50000     0.10000    43.62168
   3.60000     0.10000    43.50967
   3.70000     0.10000    43.51623
   3.80000     0.10000    43.43576
   3.90000     0.10000    43.62865
   4.00000     0.10000    43.63980
   4.10000     0.10000    43.94529
   4.20000     0.10000    43.67795
   4.30000     0.10000    43.71906
   4.40000     0.10000    43.64436
   4.50000     0.10000    43.60251
   4.60000     0.10000    43.81248
   4.70000     0.10000    43.55905
   4.80000     0.10000    44.05848
   4.90000     0.10000    43.72103
   5.00000     0.10000    43.92762
   0.10000     0.20000    43.68390
   0.20000     0.20000    43.67089
   0.30000     0.20000    43.50262
   0.40000     0.20000    43.23499
   0.50000     0.20000    43.13192
   0.60000     0.20000    43.19802
   0.70000     0.20000    42.66543
   0.80000     0.20000    42.21930
   0.90000     0.20000    41.73964
   1.00000     0.20000    41.28458
   1.10000     0.20000    41.00402
   1.20000     0.20000    40.59974
   1.30000     0.20000    41.07255
   1.40000     0.20000    41.23968
   1.50000     0.20000    41.11852
   1.60000     0.20000    41.38163
   1.70000     0.20000    41.77530
   1.80000     0.20000    42.28725
   1.90000     0.20000    42.58363
   2.00000     0.20000    42.85530
   2.10000     0.20000    42.92920
   2.20000     0.20000    43.23267
   2.30000     0.20000    43.51248
   2.40000     0.20000    43.61654
   2.50000     0.20000    43.65059
   2.60000     0.20000    43.78718
   2.70000     0.20000    43.43659
   2.80000     0.20000    43.83938
   2.90000     0.20000    43.84576
   3.00000     0.20000    44.03037
   3.10000     0.20000    43.52110
   3.20000     0.20000    43.83876
   3.30000     0.20000    44.10941
   3.40000     0.20000    43.84507
   3.50000     0.20000    43.90275
   3.60000     0.20000    43.88577
   3.70000     0.20000    43.99122
   3.80000     0.20000    43.93381
   3.90000     0.20000    43.93615
   4.00000     0.20000    43.89025
   4.10000     0.20000    43.97648
   4.20000     0.20000    43.64784
   4.30000     0.20000    43.79275
   4.40000     0.20000    43.93896
   4.50000     0.20000    44.04165
   4.60000     0.20000    43.87580
   4.70000     0.20000    43.72583
   4.80000     0.20000    43.61400
   4.90000     0.20000    43.93216
   5.00000     0.20000    43.89512
   0.10000     0.30000    43.73846
   0.20000     0.30000    43.53171
   0.30000     0.30000    43.43029
   0.40000     0.30000    43.15821
   0.50000     0.30000    43.23126
   0.60000     0.30000    43.23738
   0.70000     0.30000    43.02280
   0.80000     0.30000    42.42909
   0.90000     0.30000    42.33491
   1.00000     0.30000    42.20911
   1.10000     0.30000    42.43390
   1.20000     0.30000    41.78666
   1.30000     0.30000    41.51062
   1.40000     0.30000    41.22923
   1.50000     0.30000    41.30790
   1.60000     0.30000    42.02577
   1.70000     0.30000    42.56957
   1.80000     0.30000    43.25702
   1.90000     0.30000    43.46616
   2.00000     0.30000    43.28900
   2.10000     0.30000    43.95668
   2.20000     0.30000    43.90691
   2.30000     0.30000    43.78152
   2.40000     0.30000    43.95549
   2.50000     0.30000    43.66557
   2.60000     0.30000    43.71947
   2.70000     0.30000    43.77489
   2.80000     0.30000    43.88597
   2.90000     0.30000    44.01680
   3.00000     0.30000    43.86601
   3.10000     0.30000    43.82681
   3.20000     0.30000    43.78686
   3.30000     0.30000    43.73946
   3.40000     0.30000    43.95635
   3.50000     0.30000    43.85183
   3.60000     0.30000    43.62708
   3.70000     0.30000    43.78795
   3.80000     0.30000    43.93740
   3.90000     0.30000    44.06909
   4.00000     0.30000    43.84404
   4.10000     0.30000    43.80131
   4.20000     0.30000    43.93982
   4.30000     0.30000    44.06741
   4.40000     0.30000    43.88966
   4.50000     0.30000    43.68354
   4.60000     0.30000    43.69619
   4.70000     0.30000    44.15059
   4.80000     0.30000    43.80893
   4.90000     0.30000    43.89352
   5.00000     0.30000    44.14418
   0.10000     0.40000    43.30355
   0.20000     0.40000    43.21141
