#     r         beta        Ep   
   0.10000     0.10000   107.84919
   0.20000     0.10000   107.63572
   0.30000     0.10000   107.42834
   0.40000     0.10000   107.58167
   0.50000     0.10000   107.95578
   0.60000     0.10000   107.82379
   0.70000     0.10000   107.66394
   0.80000     0.10000   107.37925
   0.90000     0.10000   107.44578
   1.00000     0.10000   107.47562
   1.10000     0.10000   107.94870
   1.20000     0.10000   107.51871
   1.30000     0.10000   107.39296
   1.40000     0.10000   107.84055
   1.50000     0.10000   108.06793
   1.60000     0.10000   108.11036
   1.70000     0.10000   107.59903
   1.80000     0.10000   107.85903
   1.90000     0.10000   107.75842
   2.00000     0.10000   107.83855
   2.10000     0.10000   107.70102
   2.20000     0.10000   107.63125
   2.30000     0.10000   107.47108
   2.40000     0.10000   107.85300
   2.50000     0.10000   107.73121
   2.60000     0.10000   107.50882
   2.70000     0.10000   107.88106
   2.80000     0.10000   107.42570
   2.90000     0.10000   107.73150
   3.00000     0.10000   107.65777
   3.10000     0.10000   107.76242
   3.20000     0.10000   107.73086
   3.30000     0.10000   107.93623
   3.40000     0.10000   108.02763
   3.50000     0.10000   107.87199
   3.60000     0.10000   107.90273
   3.70000     0.10000   107.87394
   3.80000     0.10000   107.69743
   3.90000     0.10000   107.66669
   4.00000     0.10000   107.74968
   4.10000     0.10000   107.53586
   4.20000     0.10000   107.44805
   4.30000     0.10000   108.20441
   4.40000     0.10000   107.72133
   4.50000     0.10000   107.52833
   4.60000     0.10000   108.00320
   4.70000     0.10000   107.97964
   4.80000     0.10000   107.83173
   4.90000     0.10000   108.09914
   5.00000     0.10000   107.72966
   0.10000     0.20000   107.96903
   0.20000     0.20000   107.83406
   0.30000     0.20000   107.28885
   0.40000     0.20000   107.47968
   0.50000     0.20000   107.48819
   0.60000     0.20000   107.50112
   0.70000     0.20000   107.84773
   0.80000     0.20000   107.56174
   0.90000     0.20000   107.64650
   1.00000     0.20000   107.59654
   1.10000     0.20000   107.50392
   1.20000     0.20000   107.85500
   1.30000     0.20000   107.86875
   1.40000     0.20000   107.94538
   1.50000     0.20000   107.52840
   1.60000     0.20000   107.68206
   1.70000     0.20000   107.63086
   1.80000     0.20000   107.35942
   1.90000     0.20000   107.58772
   2.00000     0.20000   107.68764
   2.10000     0.20000   108.23675
   2.20000     0.20000   107.78006
   2.30000     0.20000   107.66445
   2.40000     0.20000   107.57029
   2.50000     0.20000   108.14090
   2.60000     0.20000   107.88298
   2.70000     0.20000   107.76556
   2.80000     0.20000   108.01537
   2.90000     0.20000   107.66920
   3.00000     0.20000   107.48949
   3.10000     0.20000   107.69128
   3.20000     0.20000   107.75880
   3.30000     0.20000   107.47235
   3.40000     0.20000   107.67827
   3.50000     0.20000   107.56519
   3.60000     0.20000   107.75249
   3.70000     0.20000   107.98065
   3.80000     0.20000   107.62313
   3.90000     0.20000   107.89249
   4.00000     0.20000   107.63362
   4.10000     0.20000   107.91607
   4.20000     0.20000   107.47678
   4.30000     0.20000   107.85331
   4.40000     0.20000   107.69327
   4.50000     0.20000   108.09245
   4.60000     0.20000   107.56198
   4.70000     0.20000   107.92256
   4.80000     0.20000   107.42035
   4.90000     0.20000   108.03555
   5.00000     0.20000   107.73063
   0.10000     0.30000   107.51289
   0.20000     0.30000   107.04058
   0.30000     0.30000   107.12716
