# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,110.72983795,0.984265226219,0.00414653791945,7.5,7.5,0.05
1.0,3,110.731231551,0.984277613789,0.00422232809778,7.5,7.5,0.05
1.5,3,111.387550545,0.990111560398,1.00283938203e-06,7.5,7.5,0.05
2.0,3,111.387552101,0.990111574236,9.23578360242e-07,7.5,7.5,0.05
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,110.162567836,0.979222825212,0.00776682316518,7.5,7.5,0.1
1.0,3,110.13564406,0.978983502755,0.00777320677249,7.5,7.5,0.1
1.5,3,111.387538283,0.990111451407,2.07494156377e-06,7.5,7.5,0.1
2.0,3,111.387513822,0.990111233969,4.45895579277e-06,7.5,7.5,0.1
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,109.506026195,0.973386899511,0.0114413110685,7.5,7.5,0.15000000000000002
1.0,3,109.583857813,0.974078736119,0.0120723026449,7.5,7.5,0.15000000000000002
1.5,3,111.387540925,0.990111474889,1.92462143401e-06,7.5,7.5,0.15000000000000002
2.0,3,111.387473581,0.99011087628,6.78734924209e-06,7.5,7.5,0.15000000000000002
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,109.000966458,0.968897479625,0.0149568591345,7.5,7.5,0.2
1.0,3,108.982807408,0.968736065853,0.0151076503321,7.5,7.5,0.2
1.5,3,111.387528128,0.990111361136,3.23708869442e-06,7.5,7.5,0.2
2.0,3,111.387476422,0.990110901528,7.49391245191e-06,7.5,7.5,0.2
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,108.500434964,0.964448310793,0.0171745312038,7.5,7.5,0.25
1.0,3,108.512714791,0.96455746481,0.0175469451705,7.5,7.5,0.25
1.5,3,111.387529775,0.990111375778,3.95199769033e-06,7.5,7.5,0.25
2.0,3,111.387438253,0.990110562245,1.11519753416e-05,7.5,7.5,0.25
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,107.925149211,0.959334659655,0.0215535082735,7.5,7.5,0.3
1.0,3,107.928133262,0.959361184547,0.0208531779684,7.5,7.5,0.3
1.5,3,111.387544693,0.990111508379,2.00262676685e-06,7.5,7.5,0.3
2.0,3,111.387429697,0.990110486197,1.21764451337e-05,7.5,7.5,0.3
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,107.496970001,0.955528622235,0.0231840506136,7.5,7.5,0.35
1.0,3,107.389292743,0.95457149105,0.0240911188508,7.5,7.5,0.35
1.5,3,111.387548814,0.990111545013,1.16407281915e-06,7.5,7.5,0.35
2.0,3,111.387286546,0.990109213739,2.19841924495e-05,7.5,7.5,0.35
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,107.058263031,0.951629004723,0.0251831197549,7.5,7.5,0.39999999999999997
1.0,3,106.97144802,0.950857315736,0.0266317130485,7.5,7.5,0.39999999999999997
1.5,3,111.387550867,0.990111563261,1.10147752628e-06,7.5,7.5,0.39999999999999997
2.0,3,111.387236402,0.990108768016,2.60826368324e-05,7.5,7.5,0.39999999999999997
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,106.445883667,0.946185632599,0.0275800544513,7.5,7.5,0.45
1.0,3,106.265005742,0.944577828821,0.0296252141405,7.5,7.5,0.45
1.5,3,111.387499966,0.990111110813,6.16423069626e-06,7.5,7.5,0.45
2.0,3,111.387314783,0.990109464734,1.94696531964e-05,7.5,7.5,0.45
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,105.983073587,0.942071765218,0.030441873611,7.5,7.5,0.5
1.0,3,105.842023423,0.940817985984,0.0315928852735,7.5,7.5,0.5
1.5,3,111.387519636,0.990111285649,4.58585763945e-06,7.5,7.5,0.5
2.0,3,111.387415851,0.990110363116,1.24110245095e-05,7.5,7.5,0.5
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,105.607456565,0.938732947246,0.0330747384937,7.5,7.5,0.55
1.0,3,105.314951317,0.936132900593,0.0342476622201,7.5,7.5,0.55
1.5,3,111.387538909,0.990111456967,2.12003436312e-06,7.5,7.5,0.55
2.0,3,111.387323161,0.990109539205,1.99586038338e-05,7.5,7.5,0.55
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,104.941383422,0.932812297083,0.0377264866122,7.5,7.5,0.6000000000000001
1.0,3,105.266225759,0.935699784524,0.0364791054996,7.5,7.5,0.6000000000000001
1.5,3,111.387553626,0.990111587787,7.4958843691e-07,7.5,7.5,0.6000000000000001
2.0,3,111.387398883,0.990110212293,1.93591366077e-05,7.5,7.5,0.6000000000000001
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,104.600204856,0.929779598716,0.0359493323768,7.5,7.5,0.65
1.0,3,104.360949036,0.927652880318,0.0391278229962,7.5,7.5,0.65
1.5,3,111.38755476,0.990111597865,5.9056041321e-07,7.5,7.5,0.65
2.0,3,111.387248144,0.99010887239,3.76875264509e-05,7.5,7.5,0.65
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,104.24171351,0.926593008978,0.0408570498848,7.5,7.5,0.7000000000000001
1.0,3,103.972875594,0.924203338617,0.0419986144122,7.5,7.5,0.7000000000000001
1.5,3,111.387533371,0.990111407744,3.16237570771e-06,7.5,7.5,0.7000000000000001
2.0,3,111.387213247,0.990108562198,4.64357935328e-05,7.5,7.5,0.7000000000000001
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,103.95328567,0.92402920596,0.0415951470309,7.5,7.5,0.75
1.0,3,103.272568534,0.917978386971,0.0448055764093,7.5,7.5,0.75
1.5,3,111.3875276,0.990111356445,4.40010628755e-06,7.5,7.5,0.75
2.0,3,111.387256019,0.990108942389,4.23887493168e-05,7.5,7.5,0.75
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,103.198928394,0.917323807948,0.0461654598105,7.5,7.5,0.8
1.0,3,103.192030845,0.917262496399,0.0440126878984,7.5,7.5,0.8
1.5,3,111.387528407,0.990111363618,4.28692302933e-06,7.5,7.5,0.8
2.0,3,111.387273518,0.990109097941,3.86514593463e-05,7.5,7.5,0.8
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,102.807349436,0.913843106095,0.0478529836901,7.5,7.5,0.8500000000000001
1.0,3,102.655900586,0.912496894098,0.0503897395933,7.5,7.5,0.8500000000000001
1.5,3,111.387542518,0.990111489048,2.18153910973e-06,7.5,7.5,0.8500000000000001
2.0,3,111.387190391,0.990108359034,5.02420218625e-05,7.5,7.5,0.8500000000000001
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,102.4260628,0.910453891552,0.0489693810083,7.5,7.5,0.9
1.0,3,102.347080826,0.909751829562,0.0493834779711,7.5,7.5,0.9
1.5,3,111.387527363,0.990111354342,4.43329054163e-06,7.5,7.5,0.9
2.0,3,111.387172378,0.990108198916,4.81357989509e-05,7.5,7.5,0.9
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,102.038707186,0.907010730546,0.0511600407301,7.5,7.5,0.9500000000000001
1.0,3,101.743968706,0.904390832945,0.0519899850429,7.5,7.5,0.9500000000000001
1.5,3,111.387530013,0.99011137789,3.25765596769e-06,7.5,7.5,0.9500000000000001
2.0,3,111.387172433,0.990108199401,5.34018873091e-05,7.5,7.5,0.9500000000000001
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,101.859772145,0.905420196848,0.0514553383818,7.5,7.5,1.0
1.0,3,101.435360918,0.901647652608,0.0546115861111,7.5,7.5,1.0
1.5,3,111.387473268,0.990110873492,1.06855161668e-05,7.5,7.5,1.0
2.0,3,111.387164781,0.990108131391,5.52906023317e-05,7.5,7.5,1.0
