# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,104.897426157,0.932421565841,0.0111068519533,7.5,7.5,0.05
1.0,3,101.598288945,0.903095901736,0.00729237622918,7.5,7.5,0.05
1.5,3,108.302130146,0.962685601299,0.00938614008964,7.5,7.5,0.05
2.0,3,108.208448692,0.961852877261,0.00934158096813,7.5,7.5,0.05
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,99.342757831,0.883046736276,0.0171385156274,7.5,7.5,0.1
1.0,3,94.0861400224,0.836321244643,0.0143027035757,7.5,7.5,0.1
1.5,3,105.556470095,0.938279734178,0.0172970179535,7.5,7.5,0.1
2.0,3,105.292990713,0.935937695223,0.0175227715894,7.5,7.5,0.1
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,94.6372660896,0.841220143019,0.0220149606455,7.5,7.5,0.15000000000000002
1.0,3,88.326617634,0.78512549008,0.0185197920162,7.5,7.5,0.15000000000000002
1.5,3,102.820934281,0.913963860275,0.0232652306917,7.5,7.5,0.15000000000000002
2.0,3,102.763122586,0.913449978539,0.0236762943093,7.5,7.5,0.15000000000000002
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,90.3915708592,0.803480629859,0.025438172424,7.5,7.5,0.2
1.0,3,83.7913331326,0.744811850068,0.022739707148,7.5,7.5,0.2
1.5,3,100.172559575,0.890422751776,0.0295608479711,7.5,7.5,0.2
2.0,3,99.961948083,0.888550649626,0.0279693335418,7.5,7.5,0.2
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,86.9899101444,0.773243645728,0.0294879626389,7.5,7.5,0.25
1.0,3,80.2140129868,0.713013448771,0.0250047823786,7.5,7.5,0.25
1.5,3,97.7782040226,0.869139591312,0.0338487864497,7.5,7.5,0.25
2.0,3,97.37761771,0.865578824089,0.0323100553463,7.5,7.5,0.25
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,83.6347409787,0.743419919811,0.0324993047732,7.5,7.5,0.3
1.0,3,77.4581000362,0.688516444766,0.0267978127452,7.5,7.5,0.3
1.5,3,94.9118127431,0.843660557716,0.0368989564368,7.5,7.5,0.3
2.0,3,95.0422123634,0.844819665452,0.037375855758,7.5,7.5,0.3
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
0.5,3,80.7627288277,0.717890922913,0.0352241221817,7.5,7.5,0.35
1.0,3,74.8525062691,0.665355611281,0.0273628465011,7.5,7.5,0.35
1.5,3,92.7487069032,0.824432950251,0.0412527041869,7.5,7.5,0.35
2.0,3,92.9912080405,0.826588515915,0.0411653666183,7.5,7.5,0.35
# r, beta, Ep, EpNorm, EpNormStd, v1, v2, decay
